concurrency_level,trial_id,thread_id,status_code,result_type,latency_ms
5,10,0,409,CONFLICT_409,0.0486
5,10,2,409,CONFLICT_409,0.0279
5,10,3,409,CONFLICT_409,0.0253
5,10,1,409,CONFLICT_409,0.0232
5,11,4,200,SUCCESS_ACCEPTED,0.3334
5,11,3,409,CONFLICT_409,0.0392
5,11,2,409,CONFLICT_409,0.0286
5,11,1,409,CONFLICT_409,0.0893
5,11,0,409,CONFLICT_409,0.0332
5,12,4,200,SUCCESS_ACCEPTED,0.3405
5,12,2,409,CONFLICT_409,0.0678
5,12,0,409,CONFLICT_409,0.0311
5,12,3,409,CONFLICT_409,0.1152
5,12,1,409,CONFLICT_409,0.0475
5,13,4,200,SUCCESS_ACCEPTED,0.1322
5,13,3,409,CONFLICT_409,0.0619
5,13,2,409,CONFLICT_409,0.0162
5,13,1,409,CONFLICT_409,0.0175
5,13,0,409,CONFLICT_409,0.012
5,14,4,200,SUCCESS_ACCEPTED,0.2803
5,14,0,409,CONFLICT_409,0.0418
5,14,1,409,CONFLICT_409,0.0926
5,14,3,409,CONFLICT_409,0.0376
5,14,2,409,CONFLICT_409,0.0281
5,15,4,200,SUCCESS_ACCEPTED,0.2455
5,15,0,409,CONFLICT_409,0.0703
5,15,2,409,CONFLICT_409,0.082
5,15,1,409,CONFLICT_409,0.0336
5,15,3,409,CONFLICT_409,0.0265
5,16,4,200,SUCCESS_ACCEPTED,0.2622
5,16,0,409,CONFLICT_409,0.0567
5,16,1,409,CONFLICT_409,0.042
5,16,3,409,CONFLICT_409,0.0133
5,16,2,409,CONFLICT_409,0.0106
5,17,4,200,SUCCESS_ACCEPTED,0.1703
5,17,0,409,CONFLICT_409,0.0203
5,17,2,409,CONFLICT_409,0.0344
5,17,3,409,CONFLICT_409,0.0172
5,17,1,409,CONFLICT_409,0.0199
5,18,4,200,SUCCESS_ACCEPTED,0.3232
5,18,0,409,CONFLICT_409,0.0725
5,18,1,409,CONFLICT_409,0.0467
5,18,2,409,CONFLICT_409,0.0417
5,18,3,409,CONFLICT_409,0.0392
5,19,4,200,SUCCESS_ACCEPTED,0.1948
5,19,0,409,CONFLICT_409,0.079
5,19,1,409,CONFLICT_409,0.044
5,19,2,409,CONFLICT_409,0.0516
5,19,3,409,CONFLICT_409,0.0308
5,20,4,200,SUCCESS_ACCEPTED,0.1296
5,20,2,409,CONFLICT_409,0.0222
5,20,0,409,CONFLICT_409,0.0146
5,20,3,409,CONFLICT_409,0.0129
5,20,1,409,CONFLICT_409,0.012
5,21,4,200,SUCCESS_ACCEPTED,0.1432
5,21,0,409,CONFLICT_409,0.0228
5,21,2,409,CONFLICT_409,0.0395
5,21,1,409,CONFLICT_409,0.0211
5,21,3,409,CONFLICT_409,0.0142
5,22,4,200,SUCCESS_ACCEPTED,0.1377
5,22,2,409,CONFLICT_409,0.0411
5,22,0,409,CONFLICT_409,0.0274
5,22,3,409,CONFLICT_409,0.0149
5,22,1,409,CONFLICT_409,0.0128
5,23,4,200,SUCCESS_ACCEPTED,0.1791
5,23,1,409,CONFLICT_409,0.0352
5,23,2,409,CONFLICT_409,0.0174
5,23,0,409,CONFLICT_409,0.0131
5,23,3,409,CONFLICT_409,0.0113
5,24,4,200,SUCCESS_ACCEPTED,0.1449
5,24,0,409,CONFLICT_409,0.0244
5,24,1,409,CONFLICT_409,0.026
5,24,2,409,CONFLICT_409,0.0235
5,24,3,409,CONFLICT_409,0.017
5,25,4,200,SUCCESS_ACCEPTED,0.1564
5,25,1,409,CONFLICT_409,0.0396
5,25,2,409,CONFLICT_409,0.0176
5,25,3,409,CONFLICT_409,0.012
5,25,0,409,CONFLICT_409,0.0113
5,26,4,200,SUCCESS_ACCEPTED,0.2602
5,26,1,409,CONFLICT_409,0.0698
5,26,3,409,CONFLICT_409,0.0354
5,26,0,409,CONFLICT_409,0.0435
5,26,2,409,CONFLICT_409,0.0188
5,27,4,200,SUCCESS_ACCEPTED,0.1163
5,27,0,409,CONFLICT_409,0.0204
5,27,3,409,CONFLICT_409,0.0134
5,27,1,409,CONFLICT_409,0.0137
5,27,2,409,CONFLICT_409,0.0108
5,28,4,200,SUCCESS_ACCEPTED,0.1552
